speaker no	full name	name	surname (pronouns??)	company	title	bio	thumbnailUrl	rockstar	ribbon	social
7	Nicholas Condon (He/Him)	Nicholas	Condon (He/Him)	;	;	Nicholas Condon is a Chan Zuckerberg Initiative Imaging Scientist and Senior Microscopist within the IMB Microscopy core facility. He completed his PhD in the lab of Professor Jennifer Stow using advanced microscopy techniques to identify a novel mechanism for macropinocytosis and other immune cell surface responses. He is globally recognised as an expert in image analysis and microscopy training, as well as an emerging technologist with expertise in big data processing, analysis and storage. Nicholas works with researchers to help optimise their image analysis workflows by writing and updating code and connecting new infrastructures such as High-Performance Computing to projects. 	;	;	;	;
8	Sam Hames (He/Him)	Sam	Hames (He/Him)	;	;	;	;	;	;	;
9	Belinda Weaver (she/her)	Belinda	Weaver (she/her)	;	;	Belinda Weaver is a science student at The University of Queensland. She collaborated with other Carpentries' instructors to run Software Carpentry workshops in Brisbane from 2015, both standalone and as part of annual Research Bazaar events. She has taught scores of Software Carpentry workshops and a number of instructor trainer workshops. She previously worked as the Community and Communications Lead for Software Carpentry. This lesson is currently being integrated into the Library Carpentry curriculum.	;	;	;	;
10	Sara King (she/her)	Sara	King (she/her)	;	;	Dr Sara King is the Training and Engagement Lead for AARNet. She is focused on outreach within the research sector, developing communities of interest around training, outreach and skills development in eResearch. She is passionate about helping others develop the infrastructure and digital literacies required for working in a data-driven world, translating technology so it is accessible to everyone.	;	;	;	;
11	Martin Schweinberger (he/him)	Martin	Schweinberger (he/him)	;	;	Martin Schweinberger is Lecturer in Applied Linguistics at the University of Queensland (UQ) and part-time Associate Professor in the AcqVA-Aurora Center at the Arctic University of Norway in Tromsø. At UQ, Martin is co-directing the Language Technology and Data Analysis Laboratory (LADAL) and Chief Investigator of the Australian Text Analytics Platform (ATAP) as well as advisory committee member of the Language Data Commons of Australia (LDaCA). Martin considers himself a quantitative corpus linguist specialized in quantitative, computational analyses of text and speech data.	;	;	;	;
12	Simon Musgrave (he/him)	Simon	Musgrave (he/him)	;	;	Simon Musgrave is Engagement Lead for the Language Data Commons of Australia (University of Queensland) and an Adjunct Research Fellow (Monash University). Starting as a syntactician specialising in Austronesian languages, his research interests extended to cover areas including language endangerment, communication in medical settings and the use of technology for linguistic research. This last interest, through work on the Australian National Corpus project led to research on the history of Australian English including Irish influences. His work has appeared in journals such as Language, Oceanic Linguistics and the Australian Journal of Linguistics as well as in numerous edited collections.	;	;	;	;
13	Robert Fleet (he/him)	Robert	Fleet (he/him)	;	;	Robert Fleet is a Data Scientist and Developer at QUT's Australian Digital Observatory. With a passion for analyzing human data on the internet, he designs innovative platforms and tools for this purpose. Robert's unique research interest lies in studying MMO game data, specifically to investigate the structure of organized criminal groups. Prior to his current role, he contributed his expertise as a Data Scientist, E-Research Analyst, and Technical Lead on a cutting-edge drone surveillance project.	;	;	;	;
14	Mat Bettinson	Mat	Bettinson	;	;	Mat Bettinson is a senior developer / data scientist at the Digital Observatory	;	;	;	;
15	Boyd Nguyen (he/him)	Boyd	Nguyen (he/him)	;	;	Boyd Nguyen is Research Data Analyst at QUT's Australian Digital Observatory and the developer of youte, a tool used to collect YouTube metadata and comments.	;	;	;	;
16	Sharron Stapleton	Sharron	Stapleton	;	;	Sharron is a Research Library Specialist at Griffith Library providing training and advice to researchers on finding external data and primary sources for research and preparing data for analysis, visualisation and publishing. Sharron is a certified Data Carpentry instructor and strong supporter of open research for societal benefit and is regularly involved in ResBaz as a trainer.	;	;	;	;
